id,title,doi,year,source,url,abstract,authors,journal,query_bucket,doi_norm
10.1080/08941920.2024.2449055,Can Weather Index Insurance Reduce Farmers’ Credit Default Rates Under Trust Games?—Based on a Field Economic Experiment,10.1080/08941920.2024.2449055,2025,crossref,https://doi.org/10.1080/08941920.2024.2449055,,Yingmei Tang; Jiachen Li; Jihong Ge; Huifang Cai,Society &amp; Natural Resources,insurance_base,10.1080/08941920.2024.2449055
10.2139/ssrn.5398055,Weather Index Vehicle Insurance,10.2139/ssrn.5398055,2025,crossref,https://doi.org/10.2139/ssrn.5398055,,Huanyu Sun,,insurance_base,10.2139/ssrn.5398055
10.1111/jori.70015,"Basis risk, social comparison, perceptions of fairness, and demand for insurance: A field experiment in Ethiopia",10.1111/jori.70015,2025,crossref,https://doi.org/10.1111/jori.70015,"AbstractIndex insurance lowers agricultural risk but covers only covariate risks. Since farmers do not have complete insurance, they may develop mistrust of insurance when experiencing crop losses and not receiving payouts. Although recent innovations in remote sensing enable the provision of more complete insurance including coverage for idiosyncratic risks, such insurance introduces differences in payouts within social networks, which might be considered unfair, introduce jealousy, and depress insurance demand. We conduct a lab‐in‐the‐field experiment with farmers in Ethiopia to examine whether providing complete insurance coverage affects perceived fairness and insurance demand. We also examine effects of informing farmers about neighbors' payout experiences. We find that such social comparison increases perceived fairness of index insurance. Providing complete crop insurance increases perceived fairness of outcomes and willingness to pay for insurance, without introducing jealousy over neighbors receiving different payouts. These results are concentrated among men and those with little insurance knowledge.",Berber Kramer; Maria Porter; Solomon B. Wassie,Journal of Risk and Insurance,insurance_base,10.1111/jori.70015
10.5194/egusphere-egu25-10429,How drought risk evolution impacts crop weather insurance loss ratio in France?,10.5194/egusphere-egu25-10429,2025,crossref,https://doi.org/10.5194/egusphere-egu25-10429,"Climate change has modified climatic hazards features and requires to reconsider agro-climatic risks. Among these, drought is one of the risks with the strongest impact on both crop production and crop weather insurance performance (Brisson et al., 2010). Understanding the effects of climate change on agro-climatic risks at regional to local scale is therefore a major challenge for the agricultural sector, specifically for insurers offering crop weather insurance policies. This work, resulting from a collaboration between an insurer and a research laboratory, focuses on the development of a drought index that well explain the evolution of crop weather insurance loss ratio. As maize is a major crop in the company's portfolio, the study focuses on this crop in particular. The aim of this work is to find the optimal set of parameters that maximizes the correlation between the drought index and the drought-related losses on crop weather insurance.The Safran-Isba-Modcou reanalysis produced by M&amp;#233;t&amp;#233;o France provides spatially and temporally continuous climate data over metropolitan France of relevant interest to address this topic (Le Moigne et al., 2020; Soubeyroux et al., 2008). At the regional scale, these data allow us to quantify the evolution of climate hazards related to the water cycle from 1960 to present day. Taking into account the vulnerability of the crop of interest through the use of a simplified two reservoirs water balance model provides an opportunity to assess changes in maize water stress (Jacquart and Choisnel, 1995). The definition of a water stress threshold leads to the development of an annual drought index (Laurent et al., under review). The correlation with the crop weather insurance loss ratio due to drought is tested at various spatial scales (municipality, production basin), for different varieties, different sowing dates and different stress thresholds.Our results indicate that climate change has affected the frequency and intensity of drought risk on maize crops in France, depending on the French production area studied. The significance of the correlation depends on maize variety, sowing date and hydric stress threshold. It seems that using drought index computed with low stress thresholds and analyzing correlations at large spatial scales gives the best results.For non-irrigated maize area at production basin scale, our drought index can explain a significant part of drought-related losses in crop weather insurance. The results suggest that such an index may be relevant to improve the actuarial loss model of the insurer. However, further analysis is required in areas where correlations are weaker, particularly in production basins with high irrigation levels.References:Brisson et al., 2010. Field Crops Res. 119, 201&amp;#8211;212. https://doi.org/10.1016/j.fcr.2010.07.012Jacquart, Choisnel, 1995. La M&amp;#233;t&amp;#233;orologie 8&amp;#232;me s&amp;#233;rie, 29&amp;#8211;44. https://doi.org/10.4267/2042/51939Laurent et al., under review. J. Agric. For. Meteorol.Le Moigne et al., 2020. Geosci. Model Dev. 13, 3925&amp;#8211;3946. https://doi.org/10.5194/gmd-13-3925-2020Soubeyroux et al., 2008. La M&amp;#233;t&amp;#233;orologie 8, 40. https://doi.org/10.4267/2042/2189",Léa Laurent; Albin Ullmann; Thierry Castel,,insurance_base,10.5194/egusphere-egu25-10429
10.1007/978-3-031-80574-5_2,Index-based Insurance Design for Climate and Weather Risk Management: A Review,10.1007/978-3-031-80574-5_2,2025,crossref,https://doi.org/10.1007/978-3-031-80574-5_2,"Abstract
          Index insurance has become a notable risk management tool in response to increasing climate variability and extreme weather events. This chapter offers a thorough review of innovative index-based financial solutions, focusing on index insurance. It explores the essential principles of index insurance, including its actuarial framework, empirical research findings, and practical considerations. Additionally, the chapter explores future advancements in the field, emphasizing the integration of cutting-edge technologies such as artificial intelligence and blockchain. These innovations have the potential to risk modeling, underwriting and claims processing of index insurance. Aimed at researchers, practitioners, and policymakers, this chapter serves as a comprehensive guide for designing effective index insurance programs that enhance resilience in the face of climate uncertainties.",Wenjun Zhu; Jinggong Zhang; Lysa Porth; Ken Seng Tan,Springer Actuarial,insurance_base,10.1007/978-3-031-80574-5_2
10.2139/ssrn.5508724,Hierarchical Bayesian Model To Estimate Non-Index crop Weather Insurance Utilities Among Smallholder Farmers In Tanzania,10.2139/ssrn.5508724,2025,crossref,https://doi.org/10.2139/ssrn.5508724,,Godwin Kalokola; Arbogat Moshi; Joel Mmasa,,insurance_base,10.2139/ssrn.5508724
10.2139/ssrn.5332665,"Weather Index Insurance, Agricultural Productivity and Multiscale Resilience. A Comparative Analysis of Farmers with Varying Exposure to Weather Shocks in Kenya",10.2139/ssrn.5332665,2025,crossref,https://doi.org/10.2139/ssrn.5332665,,Price  Amanya Muleke; Yueqing Ji; Yongyi Fu; Zongyao Yang; Shadrack Kipkogei,,insurance_base,10.2139/ssrn.5332665
10.54097/ppdwrw14,Bridging the Insurance Gap in Extreme Weather: A Multidimensional Risk Assessment Framework Integrating Socioeconomic Indicators and Cultural Preservation for Sustainable Property Insurance,10.54097/ppdwrw14,2025,crossref,https://doi.org/10.54097/ppdwrw14,"Extreme weather events have intensified the insurance gap, posing significant challenges to the sustainability of the property insurance industry. To address this issue, we propose the Catastrophes Insurance Underwriting (CIU) Risk Assessment Model, optimized from the perspectives of property development and landmark preservation. Our model integrates social, economic, and natural indicators into an evaluation system and classifies risk levels using Projection Pursuit and the GE matrix. We employ AHP-CRITIC to evaluate candidate sites, aiding real estate decision-making. Furthermore, for historical and culturally significant sites, we propose a Preservation Model, incorporating a Building Value Evaluation Model (BVEM) to assess protection levels. Our comprehensive framework balances insurance profitability, real estate feasibility, and cultural preservation, providing data-driven strategies for sustainable insurance practices. Future research should explore innovative insurance solutions and dynamic preservation policies to enhance industry resilience.",Shiyu Deng,"Highlights in Business, Economics and Management",insurance_base,10.54097/ppdwrw14
10.1007/978-3-031-80574-5_3,Weather and Yield Index-Based Insurance Schemes in the EU Agriculture: A Focus on the Agri-CAT Fund,10.1007/978-3-031-80574-5_3,2025,crossref,https://doi.org/10.1007/978-3-031-80574-5_3,"Abstract
          Agriculture is the most vulnerable sector to climate change, e.g., temperatures or rainfall may significantly affect the crop yields, also leading the proliferation of pathogens and hence pests and diseases [1]. The total economic losses from weather- and climate-related have caused damages reaching nearly 487 billion of euros in EEA member countries since 1980, and just 3% of all events are responsible for 60% of economic losses [2]. Extreme weather events such as heavy precipitation, flood, drought, frost, heat, and strong wind are more and more frequent, intense, long-lasting, and they are the major drivers of agricultural losses [3, 4]. Heavy precipitation may reduce photosynthetically active radiation up to irreversible tissue damages, setting the conditions for diseases due to the proliferation of pathogens, nutrient leaching, soil erosion, and oxygen deficit [5, 6], also inducing flash flood events, in combination with other factors as the antecedent soil moisture [7, 8]. Drought and water shortage may affect the metabolism of plants with changes in root growth and architecture, and other tissue-specific responses that modify the flux of cellular signals [9]. The stress due to drought events is the main factor limiting the development of crop and its productivity [10]. Cold may damage the leaf and seedling survival, also leading to the sterility and the abortion of formed grains, especially for the cereal crops [11]. Heat directly affects the crop physiology, reducing photosynthesis rates, leading the acceleration of leaf senescence processes, oxidative damages, and pollen sterility [12]. Strong wind may also be very impactful (i.e., abrasions on the leaves and fruits, defoliations, water loss, desiccation, loss of flowers and poor fruit set), although the plants can change the structure and properties of cells and tissues, re-configuring their canopies as a defensive response [13]. On-farm and risk-sharing strategies are available to improve the resilience of farming systems to weather risks. The former includes risk control (i.e., risk prevention such as irrigation, shading, pest control, improved planning and monitoring activities), reserves (i.e., stocking, financial savings, additional labour input), and diversification (i.e., agricultural and structural diversification as nature conservation or agrotourism, off-farm allocation of resources); the latter includes risk pooling (i.e., mutual funds, agricultural insurance, membership in cooperatives, credit unions, producer organizations), and risk transfer (i.e., forwards, futures contracts) [14]. Member States may grant support for risk management tools (e.g., financial contribution to insurance premiums and to mutual funds) which can help farmers to manage production and income risks related to their agricultural activity and over which they have no control [15]. The new Common Agricultural Policy (CAP) reform is putting increasing emphasis on instrument supporting proactive management of the effects of extreme weather events due to climate change [15]. We provide an overview of the spread of risk management tools subsidised by new CAP 2023–2027, focusing on two promising tools: the weather index-based insurance and the Agri-CAT fund. We also discuss on their feasibility at farm-level, highlighting pros and cons, also animating the debate on how policymakers may improve the attractiveness of risk management tools.",F. G. Santeramo; T. Balezentis; M. Tappi,Springer Actuarial,insurance_base,10.1007/978-3-031-80574-5_3
10.1111/jori.70016,Optimal insurance design under limited liability,10.1111/jori.70016,2025,crossref,https://doi.org/10.1111/jori.70016,"AbstractWe study optimal demand for insurance in a classical expected utility setting where the insured party has limited liability and has access to three different types of progressively more restrictive contracts. At one end, with no restrictions on the indemnity schedule, it is optimal to fully insure certain losses while leaving others uninsured. At the other end, if indemnity schedules and retained losses are assumed to be increasing functions of the underlying loss, the optimal insurance policies are shown to be capped deductibles. For the intermediate case when the indemnity schedule is only an increasing function of the loss, we find that optimal contracts exhibit a richer structure beyond the capped policies suggested in earlier literature. Our study extends and provides a unifying perspective on the existing literature on optimal insurance under limited liability.",Andrea Bergesio; Pablo Koch‐Medina; Cosimo Munari,Journal of Risk and Insurance,insurance_base,10.1111/jori.70016
