title,doi,year,source,url,abstract,authors,journal,query_bucket,doi_norm,text_blob,rct_regex,seed_label,quasi_flag,rct_ml,keep_rct,labor_signal,design_signal
Formal Rainfall Insurance for the Informally Insured in India,10.1257/rct.1478-1.0,2016,crossref,https://doi.org/10.1257/rct.1478-1.0,,Ahmed Mobarak; Keesler Welch; Gregory Fauerbach,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.1478-1.0,formal rainfall insurance for the informally insured in india na aea randomized controlled trials crossref,TRUE,,FALSE,0.872298568928179,TRUE,0,1
Formal Rainfall Insurance for the Informally Insured in India,10.1257/rct.1478,2016,crossref,https://doi.org/10.1257/rct.1478,,Ahmed Mobarak; Keesler Welch; Gregory Fauerbach,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.1478,formal rainfall insurance for the informally insured in india na aea randomized controlled trials crossref,TRUE,,FALSE,0.872298568928179,TRUE,0,1
Is trust the answer to cognitive droughts? An experimental study of index insurance demand,10.1257/rct.2715-3.0,2018,crossref,https://doi.org/10.1257/rct.2715-3.0,,Jonathan Stern,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.2715-3.0,is trust the answer to cognitive droughts? an experimental study of index insurance demand na aea randomized controlled trials crossref,TRUE,,FALSE,0.877732951844705,TRUE,0,1
Is trust the answer to cognitive droughts? An experimental study of index insurance demand,10.1257/rct.2715-1.0,2018,crossref,https://doi.org/10.1257/rct.2715-1.0,,Jonathan Stern,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.2715-1.0,is trust the answer to cognitive droughts? an experimental study of index insurance demand na aea randomized controlled trials crossref,TRUE,,FALSE,0.877732951844705,TRUE,0,1
Is trust the answer to cognitive droughts? An experimental study of index insurance demand,10.1257/rct.2715-2.0,2018,crossref,https://doi.org/10.1257/rct.2715-2.0,,Jonathan Stern,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.2715-2.0,is trust the answer to cognitive droughts? an experimental study of index insurance demand na aea randomized controlled trials crossref,TRUE,,FALSE,0.877732951844705,TRUE,0,1
"Basis risk, social comparison, perceptions of fairness, and demand for insurance: A field experiment in Ethiopia",10.1111/jori.70015,2025,crossref,https://doi.org/10.1111/jori.70015,"AbstractIndex insurance lowers agricultural risk but covers only covariate risks. Since farmers do not have complete insurance, they may develop mistrust of insurance when experiencing crop losses and not receiving payouts. Although recent innovations in remote sensing enable the provision of more complete insurance including coverage for idiosyncratic risks, such insurance introduces differences in payouts within social networks, which might be considered unfair, introduce jealousy, and depress insurance demand. We conduct a lab‐in‐the‐field experiment with farmers in Ethiopia to examine whether providing complete insurance coverage affects perceived fairness and insurance demand. We also examine effects of informing farmers about neighbors' payout experiences. We find that such social comparison increases perceived fairness of index insurance. Providing complete crop insurance increases perceived fairness of outcomes and willingness to pay for insurance, without introducing jealousy over neighbors receiving different payouts. These results are concentrated among men and those with little insurance knowledge.",Berber Kramer; Maria Porter; Solomon B. Wassie,Journal of Risk and Insurance,insurance_base,10.1111/jori.70015,"basis risk, social comparison, perceptions of fairness, and demand for insurance: a field experiment in ethiopia abstractindex insurance lowers agricultural risk but covers only covariate risks. since farmers do not have complete insurance, they may develop mistrust of insurance when experiencing crop losses and not receiving payouts. although recent innovations in remote sensing enable the provision of more complete insurance including coverage for idiosyncratic risks, such insurance introduces differences in payouts within social networks, which might be considered unfair, introduce jealousy, and depress insurance demand. we conduct a lab‐in‐the‐field experiment with farmers in ethiopia to examine whether providing complete insurance coverage affects perceived fairness and insurance demand. we also examine effects of informing farmers about neighbors' payout experiences. we find that such social comparison increases perceived fairness of index insurance. providing complete crop insurance increases perceived fairness of outcomes and willingness to pay for insurance, without introducing jealousy over neighbors receiving different payouts. these results are concentrated among men and those with little insurance knowledge. journal of risk and insurance crossref",TRUE,,FALSE,0.875467797664237,TRUE,0,1
Is trust the answer to cognitive droughts? An experimental study of index insurance demand,10.1257/rct.2715,2018,crossref,https://doi.org/10.1257/rct.2715,,Jonathan Stern,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.2715,is trust the answer to cognitive droughts? an experimental study of index insurance demand na aea randomized controlled trials crossref,TRUE,,FALSE,0.877732951844705,TRUE,0,1
Agricultural Risk Management in India,10.1257/rct.677-1.0,2015,crossref,https://doi.org/10.1257/rct.677-1.0,,Shawn Cole; Fatima Wagdy,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.677-1.0,agricultural risk management in india na aea randomized controlled trials crossref,TRUE,,FALSE,0.872695309814184,TRUE,0,1
Agricultural Risk Management in India,10.1257/rct.677-2.0,2015,crossref,https://doi.org/10.1257/rct.677-2.0,,Shawn Cole; Fatima Wagdy,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.677-2.0,agricultural risk management in india na aea randomized controlled trials crossref,TRUE,,FALSE,0.872695309814184,TRUE,0,1
Enhancing access to index-based weather agricultural insurance: a new marketing approach in Burkina Faso,10.1257/rct.5180,2020,crossref,https://doi.org/10.1257/rct.5180,,HAROUNAN KAZIANGA,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.5180,enhancing access to index-based weather agricultural insurance: a new marketing approach in burkina faso na aea randomized controlled trials crossref,TRUE,,FALSE,0.89213356643463,TRUE,0,1
Enhancing access to index-based weather agricultural insurance: a new marketing approach in Burkina Faso,10.1257/rct.5180-1.0,2020,crossref,https://doi.org/10.1257/rct.5180-1.0,,HAROUNAN KAZIANGA,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.5180-1.0,enhancing access to index-based weather agricultural insurance: a new marketing approach in burkina faso na aea randomized controlled trials crossref,TRUE,,FALSE,0.89213356643463,TRUE,0,1
Targeting weather insurance markets,10.1111/jori.12334,2020,crossref,https://doi.org/10.1111/jori.12334,"AbstractThe suitability of insurance products often depends greatly on individual circumstances. This paper examines the challenges of heterogeneity in a relatively new product, weather‐indexed insurance. This index insurance product has been launched in over a dozen countries, with the goal of enabling households engaged in agricultural activity a means to manage risk. Using data from a large‐scale field experiment, we build and calibrate a model which accounts for household investment decisions, including the scope for self‐insurance via labor markets to (risky) wage work. Our results show that insurance is most valuable to households with reduced access to wage labor, or to those who face wages that are sensitive to rainfall risk. These findings have important implications for areas where index insurance is most effective.",Anita Mukherjee; Shawn Cole; Jeremy Tobacman,Journal of Risk and Insurance,insurance_base,10.1111/jori.12334,"targeting weather insurance markets abstractthe suitability of insurance products often depends greatly on individual circumstances. this paper examines the challenges of heterogeneity in a relatively new product, weather‐indexed insurance. this index insurance product has been launched in over a dozen countries, with the goal of enabling households engaged in agricultural activity a means to manage risk. using data from a large‐scale field experiment, we build and calibrate a model which accounts for household investment decisions, including the scope for self‐insurance via labor markets to (risky) wage work. our results show that insurance is most valuable to households with reduced access to wage labor, or to those who face wages that are sensitive to rainfall risk. these findings have important implications for areas where index insurance is most effective. journal of risk and insurance crossref",TRUE,,FALSE,0.782340462637266,TRUE,1,1
Willingness to pay for index-based weather insurance by rice farmers in Vietnam,10.1257/rct.14116-1.2,2024,crossref,https://doi.org/10.1257/rct.14116-1.2,,Lukas Mogge; Emmanuel Nshakira-Rukundo; Kati Kraehnert; Julian Roeckert; Benedikt von Bargen,AEA Randomized Controlled Trials,insurance_base,10.1257/rct.14116-1.2,willingness to pay for index-based weather insurance by rice farmers in vietnam na aea randomized controlled trials crossref,TRUE,,FALSE,0.8839445065684,TRUE,0,1
